station_id	Station Code	Station name	latitude	longitude	altitude	NVE Vatn nr	NVE Vassdrag nr	Kommune	Fylke Nr	Fylke	Region	Region_2	Region_3	Region 4	lake_area_km2	basin_area_km2	lake_catchm_%	min_elev	mean_elev	max_elev	developed	agriculture	forest	natural_not_forest	peat	glacier	freshwater	sea	nodata	sum	comment_land cover	Avrenning	Avrenning 1961-1990	ERA5 mean annual precipitation 1981 - 2010	ERA5 mean annual runoff 1981 - 2010	ERA5 mean annual temperature 1981 - 2010	ERA5 mean annual temperature 1995	ERA5 mean annual temperature 2019	ERA5 total annual precipitation 1995	ERA5 total annual precipitation 2019	ERA5 total annual runoff 1995	ERA5 total annual runoff 2019	NILU mean total N deposition 1992 - 1996	NILU mean total N deposition 2012 - 2016	NILU mean total S deposition 1992 - 1996	NILU mean total S deposition 2012 - 2016	station_id 2	station_code	station_name	year	resa_id	Uke_19	sample_date_19	Dyp	Uke_95	sample_date_95	rr_2w_19	rr_1m_19	rr_2m_19	rr_6m_19	tg_2w_19	tg_1m_19	tg_2m_19	tg_6m_19	rr_2w_95	rr_1m_95	rr_2m_95	rr_6m_95	tg_2w_95	tg_1m_95	tg_2m_95	tg_6m_95	LakeTemp_19	PredT_Mod1_19	PredT_Mod2_19	PredT_Mod3_19	PredT_Mod1_95	PredT_Mod2_95	PredT_Mod3_95	2019_ALK	2019_Al/Il	2019_IlAl_DOM	2019_Al/R	2019_Al	2019_As	2019_Ca	2019_Ca_e	2019_Ca_TOC	2019_Ca_SO4	2019_Ca_SO4_e	2019_Ca_SiO2	2019_Cd	2019_Cl	2019_Cl_e	2019_Co	2019_Cr	2019_Cu	2019_DOC C	2019_FARGE	2019_F	2019_Fe	2019_Fe_DOM	2019_Fe_TotP	2019_Hg	2019_KOND	2019_K	2019_Mg	2019_Mg_e	2019_Mg_SO4_e	2019_Mn	2019_NH4-N	2019_NO3-N	2019_NO3_totP	2019_Na	2019_Ni	2019_PO4-P	2019_Pb	2019_SO4	2019_SO4_e	2019_SAA	2019_SAA_Alk	2019_SiO2	2019_TOC	2019_CNDOM	2019_CNDOMcorr	2019_Pb_TOC	2019_TOTN	2019_TON	2019_TONcorr	2019_TOTP	2019_Temp_oC	2019_Zn	2019_pH	2019_H	2019_LAL	2019_ALKE	2019_ANC	2019_ANCorg	comment_station	2019_CaMg_e	2019_CaMg_SO4_e	2019_CaMg_SO4Cl_e	2019_CaMg_SAA_Alk	station_id 3	1995_ALK	1995_Al/Il	1995_IlAl_DOM	1995_Al/R	1995_As	1995_Ca	1995_Ca_e	1995_Ca_TOC	1995_Ca_SO4	1995_Ca_SO4_e	1995_Ca_SiO2	1995_Cd	1995_Cl	1995_Cl_e	1995_Co	1995_Cr	1995_Cu	1995_F	1995_Fe	1995_FeDOM	1995_KOND	1995_K	1995_Mg	1995_Mg_e	1995_Mg_SO4_e	1995_Mn	1995_NH4-N	1995_NO3-N	1995_NO3_totP	1995_Na	1995_Ni	1995_Pb	1995_SO4	1995_SO4_e	1995_SAA	1995_SAA_Alk	1995_SiO2	1995_TOC	1995_Pb_TOC	1995_CNDOM	1995_CNDOMcorr	1995_TOTN	1995_TON	1995_TONcorr	1995_TOTP	1995_Zn	1995_pH	1995_H	1995_LAL	1995_ALKE	1995_ANC	1995_ANCorg	1995_CaMg_e	1995_CaMg_SO4_e	1995_CaMg_SO4Cl_e	1995_CaMg_SAA_Alk	deltaSO4%	del_SO4	del_Ndep	deltaSdep	del_T1m	del_T2m	del_T6m	del_R1m	del_R2m	del_R6m	del_NO3	del_SiO2	del%_SiO2	del_TOC	del%_TOC	del_TON	del_ANC	del_ANCorg	del_LAL	del_IlAl	del_Fe	del_Mg	del_K	del_Na	del_Ca	del_Cl	del_pH	del_H	del_Alke	del_totP	del_TotN	del_NO3_totP	del_CNDOM
9	101-2-7	Hokksj?en	59.0044234	11.56358634	148	3608	001.1A2B	Halden kommune	1	?stfold	2	East (1+2)	East (1+2)	2-East	0.133879174	5.5015	2.433503124	147.1158752	178.9011906	230.807312	0	0.681987178	81.3086704	0	11.69267976	0	6.316662499	0	0	99.99999984		14.956	377.7487	881.2994385	372.2815552	6.839151859	6.901147366	7.911096096	835.2739868	1126.586548	338.6811829	324.087738	64.59671663	58.60099929	37.18028696	16.15720524	9	101-2-7	Hokksj?en	2019	9	43	10.25.2019	6.7	42	10.20.1995	142.318231	208.8550897	322.5093429	648.9103404	7.999232769	7.160206065	10.01727522	12.47077307	29.98649774	87.92574459	171.0309689	406.9310069	10.2296263	9.43995188	11.14040628	12.23276318	10.6	10.0916016	10.25561518	10.34339057	10.16578117	10.02576634	8.850280347	0.03	220	9.090909091	280	430	0.49	0.84	41.91616766	0.034710744	0.444444444	0.355577733	0.225201072	0.05	7.63	215.2145094	0.56	0.38	0.53	23	196	31	760	31.40495868	76	6.42	4.98	0.29	0.58	47.72680518	0.404869771	13	12	48	4.8	5	0.71	1	1.1	1.89	117.8818686	336.5249494	336.5249494	3.73	24.2	46.53846154	45.4887218	0.045454545	580	520	532	10		7.1	4.67	21.3796209	60	0	57.38317848	-25.739		89.64297285	0.760447505	0.269120227	0.266378386	1995	0.032	141	14.1	202	0.491	1.05	52.39520958	0.105	0.21875	0.175010916	0.362068966	0.06	6.2	174.8794178	0.45	0.5	0.5	40	750.5	75.05	4.08	0.37	0.67	55.13268875	0.184154666	16.4	0	90	9	4.15	0.7	1.19	4.8	299.3825235	480.6905128	481.4990791	2.9	10	0.119	25.3164557	25.3164557	485	395	395	10	7.3	5.03	9.332543008	61	0.808566274	16.23700194	-17.755	107.5278983	0.359165582	0.226726813	0.223319011	-60.625	-2.91	-5.995717345	-21.02308172	-2.279745815	-1.123131053	0.238009892	120.9293451	151.478374	241.9793335	-42	0.83	28.62068966	14.2	142	137	41.14617654	-7.984	-1	79	9.5	-0.09	-0.08	0.85	-0.21	1.43	-0.36	12.04707789	-0.808566274	0	95	-4.2	20.17226611
10	221-1-2	Langtjern	59.80864254	11.85027432	273	3208	314.C	Aurskog-H?land kommune	2	Akershus	2	East (1+2)	East (1+2)	2-East	0.049655776	0.4264	11.64535088	273.8023682	281.2414986	293.661438	0	0	57.5741958	0	30.65255207	0	11.77325379	0	0	100.0000017		14	510.72	869.3154297	297.0131531	5.784025192	5.603936672	6.567468166	804.5769043	1091.771606	221.0761414	503.1441345	48.39400428	48.46538187	27.32376794	11.97754211	10	221-1-2	Langtjern	2019	10	43	10.25.2019	10.8	42	10.20.1995	95.58485772	141.8815802	239.1499838	523.2069115	5.722482515	5.018657105	8.086572484	11.32171902	19.32290537	105.4955546	193.7949193	461.2162529	8.253131833	7.536286386	9.269159635	10.9353323	9.7	8.862738053	8.859330872	8.954197997	9.408802076	9.258140526	6.984313049	0.054	130	6.5	150	280	0.88	1.16	57.88423154	0.058	1.901639344	1.521406368	0.311827957	0.019	1.84	51.89969819	0.24	0.15	0.21	18.2	211	21	1800	90	163.6363636	5.63	2.04	0.17	0.35	28.8006583	0.756985171	15	6	16	1.454545455	1.64	0.26	1	1.2	0.61	38.04652903	91.08908437	116.5465144	3.72	20	57.47126437	56.49717514	0.06	370	348	354	11		5.3	5.09	8.128305162	20	25.45743003	97.04389377	28.617		86.68488984	2.278391539	0.963741254	0.743779342	1995	0.042	111	9.487179487	131		1.28	63.87225549	0.109401709	0.426666667	0.341354624	0.492307692	0.03	1.9	53.59207965	0.231	0.2	0.4	40	1153.9	98.62393162	2.17	0.14	0.37	30.4464102	0.162715765	18.2	0	46	4.6	1.45	0.3	1.39	3	187.1140772	243.9918712	256.4751586	2.6	11.7	0.118803419	34.51327434	34.51327434	385	339	339	10	6.4	5.39	4.073802778	20	12.4832874	41.62292076	1.844	94.31866569	0.504070389	0.391841517	0.367749712	-79.66666667	-2.39	0.071377587	-15.34622583	-2.517629281	-1.182587151	0.38638672	36.38602564	45.35506447	61.99065859	-30	1.12	43.07692308	8.3	70.94017094	15	55.42097302	26.773	0	19	646.1	-0.02	0.03	0.19	-0.12	-0.06	-0.3	4.054502384	12.97414263	1	-15	-3.145454545	21.9839008
11	402-2-13	Sëtertjern	60.06022166	12.44671144	252	4332	313.11	Kongsvinger kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.119558166	1.5716	7.607417024	251.2689514	288.1379486	350.3750305	0	0	72.95281902	0	14.85950576	0	11.68451871	0	0	99.49684349		14	448.5017	879.0106812	322.806488	5.323955059	4.883630276	6.232202053	791.7220459	1068.356445	280.7088318	388.4040222	37.90149893	50.03568879	21.9588272	12.1646912	11	402-2-13	Sëtertjern	2019	11	43	10.25.2019	8.2	42	10.20.1995	97.71491414	147.2661468	251.0028962	609.8467574	5.423263966	4.68515865	7.806909879	11.26628988	26.78956287	104.0755955	176.3321838	491.0453713	8.10956044	7.319785345	9.073403181	10.80150864	8.8	8.540363905	8.737025838	9.225626704	9.36659574	9.352512869	7.178269498	0.057	130	6.403940887	200	340	0.3	1.43	71.35728543	0.07044335	1.3	1.04006487	0.352216749	0.017	1.57	44.28398161	0.26	0.2	0.32	19.2	175	170	1100	54.18719212	122.2222222	4.39	2.11	0.23	0.47	38.67516972	0.563708178	27	24	19	2.111111111	1.51	0.32	1	0.71	1.1	68.60849498	114.2496194	142.9053569	4.06	20.3	56.8627451	53.2808399	0.034975369	400	357	381	9		3.3	5.22	6.025595861	70	28.65573746	114.7543903	44.022		110.0324551	1.603773049	0.97466597	0.769967323	1995	0.049	130	10.74380165	182		1.43	71.35728543	0.118181818	0.476666667	0.381357119	0.446875	0.13	1.5	42.30953657	0.198	0.2	0.5	180	953.2	78.7768595	2.14	0.31	0.54	44.43530138	0.237477062	27.7	0	38	4.75	1.34	0.4	0.66	3	187.1140772	232.1378995	252.2325791	3.2	12.1	0.054545455	34.870317	34.870317	385	347	347	8	4.3	5.49	3.235936569	52	20.09467965	74.51162036	33.371	115.7925868	0.618834181	0.504710849	0.459070701	-63.33333333	-1.9	12.13418986	-9.794135995	-2.634626696	-1.266493302	0.464781231	43.19055136	74.67071248	118.8013861	-19	0.86	26.875	8.2	67.76859504	34	40.24276995	10.651	18	0	146.8	-0.07	-0.08	0.17	0	0.07	-0.27	2.789659291	8.561057812	1	15	-2.638888889	18.41052289
12	419-1-25	Mj?gsj?en	60.32857753	11.8421862	489	4055	002.F6Z	S?r-Odal kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.048238585	1.0182	4.737633594	489.4718018	500.6377431	518.397644	0	0	57.8384172	0	37.49931474	0	4.662267813	0	0	99.99999974		13.27	448.96	834.2778931	233.3209991	5.132142067	4.799005032	6.028314114	803.1987305	998.6538696	164.2718353	190.8127289	37.90149893	42.89793005	21.9588272	10.29320025	12	419-1-25	Mj?gsj?en	2019	12	43	10.25.2019	7.9	42	10.20.1995	82.05235391	133.6951094	224.2727824	531.898736	3.941098961	3.449597235	6.803785577	10.23178578	14.63345033	65.45221925	123.6487014	406.8763409	6.995521662	6.268430626	8.043238425	9.81726555	7.3	7.500360465	7.505960221	8.096830711	7.971739678	7.465530836	6.158605182	0.03	120	4.651162791	140	280	0.36	0.48	23.95209581	0.018604651	0.827586207	0.662110262	0.142857143	0.033	0.87	24.53953121	0.27	0.27	0.3	25.2	240	22	780	30.23255814	78	6.44	2.98	0.11	0.23	18.92614688	0.523177436	12	8	21	2.1	0.99	0.063	1	1.2	0.58	36.17538826	62.21491947	62.21491947	3.36	25.8	67.71653543	66.32390746	0.046511628	410	381	389	10		6.7	4.39	40.73802778	20	0	51.20454771	-37.087		42.87824269	1.185287698	0.706222508	0.689195503	1995		159	19.875	205		0.55	27.44510978	0.06875	0.203703704	0.162973128	0.177419355	0.04	1	28.20635771	0.269	0.3	0.4	40	807.9	100.9875	2.6	0.14	0.27	22.21765069	0.131931701	19.9	0	14	1.272727273	1.02	0.6	2.1	2.7	168.4026695	197.6090272	197.6090272	3.1	8	0.2625	23.46041056	23.46041056	355	341	341	11	9.5	4.44	36.30780548	46	0	12.18297297	-15.016	49.66276047	0.294904829	0.252596542	0.251318278	-78.51851852	-2.12	4.996431121	-11.66562695	-2.818833391	-1.239452848	0.414520229	68.24289014	100.6240811	125.0223951	7	0.26	8.387096774	17.8	222.5	48	39.02157474	-22.071	-26	-39	-27.9	-0.04	-0.03	-0.03	-0.07	-0.13	-0.05	4.430222303	0	-1	55	0.827272727	42.8634969
13	425-2-2	Kottern	60.59072946	12.51700849	480	3794	312.1F	èsnes kommune	4	Hedmark	2	East (1+2)	East (1+2)	2-East	0.138393905	2.1259	6.509897227	478.9032593	516.1937062	629.7991943	0	0	76.00811972	0.810883416	12.08226915	0	7.199559431	0	0.057240962	96.15807268		12.34	371.995	879.1323242	340.5270081	4.192914963	3.626946926	4.96056509	812.7276001	1049.932983	267.0652466	354.5637512	37.61598858	46.75231977	22.45789145	11.54086089	13	425-2-2	Kottern	2019	13	43	10.25.2019	9.7	38	09.20.1995	79.4798497	119.5275951	200.2225726	589.6724037	3.471220648	2.935749501	6.310179168	9.9058808	11.64184862	54.80578861	136.3863233	445.0296817	8.018468901	9.453482247	12.26295655	8.291733849	7.9	7.351529658	7.457849615	7.677840384	8.418835579	7.758155755	7.127338654	0.039	120	7.142857143	160	290	0.3	0.93	46.40718563	0.055357143	1.192307692	0.95390565	0.190184049	0.024	0.72	20.30857755	0.28	0.15	0.32	16.4	180	51	1100	65.47619048	100	6	1.73	0.26	0.27	22.21765069	0.456686658	51	10	42	3.818181818	1	0.29	1	0.71	0.78	48.64966008	71.95823763	81.11554762	4.89	16.8	52.83018868	51.2195122	0.042261905	370	318	328	11		4.3	4.96	10.96478196	40	9.15730999	79.93282663	22.097		68.62483632	1.410592309	0.995165171	0.846013352	1995	0.052	115	12.3655914	134		1.2	59.88023952	0.129032258	0.461538462	0.3692538	0.375		0.8	22.56508617	0.207	0.2	0.4	60	1356.9	145.9032258	1.56	0.2	0.35	28.8006583	0.177600367	58.5	28	54	4.909090909	1.01	0.5	0.82	2.6	162.1655336	188.5877626	211.9055094	3.2	9.3	0.088172043	50.81967213	44.07582938	265	183	211	11	4.7	5.77	1.698243652	19	23.3177468	59.16656144	25.546	88.68089782	0.546854167	0.480055217	0.418492648	-70	-1.82	9.136331192	-10.91703057	-6.517732746	-5.95277738	1.614146952	64.72180649	63.83624929	144.6427219	-12	1.69	52.8125	7.5	80.64516129	117	20.7662652	-3.449	21	5	-256.9	-0.08	0.06	-0.01	-0.27	-0.08	-0.81	9.266538309	-14.16043681	0	105	-1.090909091	7.143682811
14	432-1-26	MÜsabutj?rna	61.8222	11.1834	748	33329	002.JE5	Rendalen kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.067258107	0.4004	16.79772893	749.067749	762.9709665	826.1500244	0	0	83.50399334	0	0	0	16.49600679	0	0	100.0000001		15.327	339.36	783.1844482	225.7306366	1.379507422	1.119104028	2.301263332	686.0916138	819.0482788	103.7119675	91.1394043	19.77159172	19.70021413	13.10043668	5.552089832	14	432-1-26	MÜsabutj?rna	2019	14	43	10.24.2019	6.5	38	09.20.1995	21.72887286	83.92780356	137.5925431	429.8621662	1.397699892	1.161295436	4.663431788	8.018686725	5.363064488	37.91401781	62.74904677	287.9743375	6.698107942	7.616757587	10.20652235	6.105355037	5	5.802637059	5.373852197	5.418327697	6.854108048	6.280874028	6.630527146	0.055	7	3.684210526	10	23	0.037	0.45	22.45508982	0.236842105	0.625	0.500031188	0.463917526	0.004	0.35	9.8722252	0.02	0.05	0.075	1.9	5	10	7.6	4	2.533333333	0.23	0.67	0.34	0.13	10.69738737	0.238210016	1.2	11	2	0.666666667	0.51	0.05	1	0.054	0.72	44.90737853	54.92246087	81.44739198	0.97	1.9	17.75700935	16.10169492	0.028421053	120	107	118	3		0.48	6.07	0.851138038	3	26.5249311	39.80819401	32.563		33.15247719	0.738241204	0.605197463	0.407041605	1995	0.038	10	6.25	10		0.38	18.96207585	0.2375	0.2	0.16000998	0.95		0.3	8.461907314	0.027		0.3	40			0.79	0.35	0.11	9.051635466	0.076381511	3.2	0	2	1	0.41	0.4	0.16	1.9	118.5055822	127.1103467	135.1446118	0.4	1.6	0.1	15.23809524	15.23809524	107	105	105	2	1.1	5.68	2.089296131	0	8.034265095	6.633109263	1.193	28.01371131	0.236391491	0.220636884	0.207286927	-62.10526316	-1.18	-0.071377587	-7.54834685	-6.455462151	-5.543090559	1.913331689	46.01378576	74.84349629	141.8878287	0	0.57	142.5	0.3	18.75	13	33.17508475	31.37	3	-3		0.02	-0.01	0.1	0.07	0.05	0.39	-1.238158093	18.49066601	1	13	-0.333333333	0.863599677
15	436-1-7	HOH 1066	62.23615928	11.13619956	1066	35827	002.JHAZ	Tolga kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.0272955	0.196	13.92627561	1065.166748	1072.353571	1095.706299	0	0	0	86.05290106	0	0	13.94710384	0	0	100.0000049		16.792	680.34	791.4125977	241.3544769	0.472005218	0.145043939	1.316766381	727.7971802	770.4465942	136.9446106	230.1431427	17.13062099	17.84439686	11.29132876	5.302557704	15	436-1-7	HOH 1066	2019	15	43	10.24.2019		38	09.20.1995	8.700000115	29.90000013	81.90000093	305.1000012	-0.319999186	-0.525806255	2.858063039	5.87826077	10.20000003	40.19999959	54.8999994	285.4	5.333333333	5.937500572	8.312698316	3.852973732	4.3	5.986143303	5.561919597		5.986143303	5.561919597		0.051	8	1	9	32	0.067	0.5	24.9500998	0.0625	11.9047619	9.524403574	0.943396226	0.036	0.15	4.230953657	0.024	0.061	0.1	8.6	40	8	48	6	4	1.63	0.61	0.013	0.11	9.051635466	3.455354082	9.7	190	3	0.25	0.31	0.06	2	0.16	0.042	2.619597081	7.064836452	29.3101713	0.53	8	10.70950469	8.537886873	0.02	940	747	937	12		2.7	5.46	3.467368505	1	22.24533485	56.05832158	15.296		34.00173527	12.97975766	4.963357921	1.160066071	1995	0.035	17	2.297297297	23		0.31	15.46906188	0.041891892	1.55	1.240077345	3.1		0.2	5.641271543		0.1		40	28.4	3.837837838	0.59	0.03	0.07	5.76013166	0.461760955	4	0	8	1.142857143	0.26		0.16	0.2	12.47427181	18.68697193	23.27813707	0.1	7.4	0.021621622	12.5	12.5	600	592	592	7	1.3	5.23	5.888436554	6	4.591165144	22.92770337	-2.233	21.22919354	1.7018383	1.171877272	0.911979918	-79	-0.158	0.713775874	-5.988771054	-6.463306827	-5.454635276	2.025287038	-10.29999945	27.00000153	19.70000118	-5	0.43	430	0.6	8.108108108	345	33.13061822	17.529	-5	-9	19.6	0.04	-0.017	0.05	0.19	-0.05	0.23	-2.421068049	17.6541697	5	340	-0.892857143	-3.962113127
16	438-1-13	Brennvoltj?rna	61.98456162	10.78499212	862	32131	002.M62	Alvdal kommune	4	Hedmark	1	East (1+2)	East (1+2)	2-East	0.059912533	0.6504	9.211644127	862.3944092	878.7121771	935.4073486	0	0	44.97971993	39.76330759	5.035490739	0	10.22148071	0	0	99.99999897		13.052	450.24	768.479126	195.5574341	0.377106756	0.099847414	1.31060183	679.9398804	769.6425171	78.27983856	80.13034058	14.27551749	18.2012848	9.482220836	5.364940736	16	438-1-13	Brennvoltj?rna	2019	16	43	10.24.2019	2	38	09.20.1995	14.7865758	66.82301674	112.1217946	365.3457898	0.475669989	0.300556026	3.784036908	7.01132408	28.3493506	54.5590714	91.98621702	372.0418581	6.103771776	6.89545101	9.389346673	5.08295218	5.1	5.007277156	4.862536499	4.997373672	6.258828141	5.57056473	6.016503731	0.069	39	12.1875	45	76	0.063	0.84	41.91616766	0.2625	2.545454545	2.036490655	0.351464435	0.004	0.42	11.84667024	0.02	0.064	0.059	3	18	20	31	9.6875	4.428571429	1.06	0.78	0.094	0.07	5.76013166	0.279855124	3.6	18	5	0.714285714	0.82	0.058	1	0.09	0.33	20.58254849	32.78636159	74.13700944	2.39	3.2	15.4589372	14.22222222	0.028125	230	207	225	7		0.45	6.21	0.616595002	6	41.35064785	67.95641832	55.792		47.67629932	2.316345779	1.470164906	0.643083659	1995	0.04	32	11.03448276	46		0.33	16.46706587	0.113793103	0.253846154	0.20308959	0.825		0.2	5.641271543		0.1		40	15	5.172413793	0.66	0.1	0.05	4.114379757	0.050742962	4	0	4	1	0.57		0.21	1.3	81.08276679	87.00975262	97.2820385	0.4	2.9	0.072413793	15.59139785	15.59139785	190	186	186	4	1.1	5.7	1.995262315	14	10.27228588	14.93785647	5.078	20.58144563	0.253832552	0.237321117	0.211564703	-74.61538462	-0.97	3.925767309	-4.1172801	-6.594894984	-5.605309764	1.9283719	12.26394534	20.13557763	-6.696068267	1	1.99	497.5	0.3	10.34482759	39	53.01856186	50.714	-8	7	16	0.02	-0.006	0.25	0.51	0.22	0.51	-1.378667313	31.07836197	3	40	-0.285714286	-1.369175627
17	512-1-26	HOH 1374	62.32794163	9.07993605	1377	34591	002.DJE	Lesja kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.044964922	0.3595	12.50762794	1374	1385.768846	1431.771362	0	0	0	87.01155376	0	0	12.98844638	0	0	100.0000001		26.295	810.7	898.262207	343.5406799	-1.514047265	-2.035070896	-0.516271949	847.8953857	947.8601685	264.957489	128.2984619	14.7751606	17.48750892	8.92077355	4.678727386	17	512-1-26	HOH 1374	2019	17	39	09.25.2019	3.4	41	10.11.1995	34.15827393	56.36215017	108.3253114	234.5756736	1.755122835	4.010643879	6.56830827	3.665115709	4.179834663	11.28104605	39.43054083	181.0091641	0.174172702	1.358294118	3.819372409	2.983249027	4.7	4.122795059	3.962778443	4.524706072	4.464884395	4.472286607	3.976210728	0.062	5	5.208333333	5	12	0.02	0.46	22.95409182	0.479166667	0.836363636	0.669132644	0.754098361	0.004	0.34	9.590161622	0.01	0.05	0.18	0.76	2	33	5.2	5.416666667	2.6	0.4	0.62	0.29	0.15	12.34313927	0.359813731	0.27	6	1	0.5	0.41	0.059	1	0.015	0.55	34.30424749	43.96583768	77.92763588	0.61	0.96	8.495575221	8.067226891	0.015625	120	113	119	2		0.2	6.2	0.630957344	0	33.9617982	39.86015138	36.168		35.29723109	1.028946375	0.804139566	0.452948825	1995	0.046	10	12.19512195	10		0.31	15.46906188	0.37804878	0.516666667	0.413359115	3.1		0.4	11.28254309			0.5	40			0.48	0.23	0.04	3.291503806	0.087954468	0.5	0	3	1.5	0.23	0.2	0.13	0.6	37.42281544	48.91964424	65.77104188	0.1	0.82	0.158536585	9.534883721	9.534883721	89	86	86	2	0.8	6.12	0.758577575	0	16.85139764	10.65676833	7.869	18.76056568	0.501313583	0.385184839	0.285240512	-8.333333333	-0.05	2.712348323	-4.242046163	2.652349761	2.748935861	0.681866682	45.08110412	68.89477056	53.5665095	-2	0.51	510	0.14	17.07317073	33	29.20338305	28.299	0	-5		0.11	0.06	0.18	0.15	-0.06	0.08	-0.127620231	17.11040056	0	31	-1	-1.46765683
18	512-2-7	Kjelsungvatnet	62.24001032	9.14821579	1250	34704	002.DJAAZ	Lesja kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.12113438	18.4762	0.655623885	1251.09668	1581.577337	2205.836914	0	0	0	96.91075902	0	0	3.08924441	0	0	100.0000034		20	519.61	868.4934692	324.4298401	-1.441310644	-1.88986814	-0.481878668	805.6488037	898.7946777	233.5443878	123.7183609	12.91934333	15.41755889	7.485963818	3.867747973	18	512-2-7	Kjelsungvatnet	2019	18	39	09.25.2019	0.8	40	10.01.1995	23.96538471	46.9260491	102.2244746	241.5774808	0.639317794	2.858855973	5.418515532	2.479374162	6.87003514	16.54658032	45.42988687	223.9073369	-1.259522254	1.30014323	3.510927778	1.27317675	4.9	3.190343773	4.03253704	4.910651613	1.590289055	1.27522257	1.8787657	0.06	5	13.15789474	5	11	0.023	0.73	36.42714571	1.921052632	1.140625	0.912556917	0.536764706	0.004	0.18	5.077144388	0.01	0.05	0.05	0.18	2	4	7.3	19.21052632	7.3	0.19	0.61	0.041	0.056	4.608105328	0.115440239	2.1	4	94	94	0.44	0.05	1	0.01	0.64	39.91766981	51.70909991	83.55174052	1.36	0.38	9.047619048	8.260869565	0.026315789	140	42	46	1		0.2	6.15	0.707945784	0	31.84264061	36.39509047	34.813		41.03525104	1.027997156	0.911999566	0.491135801	1995	0.046	10	50	10		0.66	32.93413174	3.3	0.44	0.352021956	0.44	0.04	0.3	8.461907314	0.031	0.1		40			0.75	0.05	0.07	5.76013166	0.061568127	4.2	0	79	26.33333333	0.29	0.2	0.23	1.5	93.55703861	107.6618031	124.5132007	1.5	0.2	1.15	6.896551724	6.896551724	108	29	29	3	1.6	6.19	0.645654229	0	16.85139764	7.254097359	6.571	38.6942634	0.413590083	0.379285073	0.310764346	-57.33333333	-0.86	2.49821556	-3.618215845	1.558712743	1.907587754	1.206197412	30.37946879	56.79458772	17.6701439	15	-0.14	-9.333333333	0.18	90	17	29.14099311	28.242	0	-5		-0.014	-0.009	0.15	0.07	-0.12	-0.04	0.062291555	14.99124297	-2	32	67.66666667	1.364317841
19	513-2-18	Nedre S?vertj?rni	61.85860149	7.6852919	1296	29185	002.DHEB	SkjÜk kommune	5	Oppland	8	Middle (8)	Middle (8)	5-Central	0.662920768	15.6421	4.23805479	1298	1504.111289	1756.58728	0	0	0	83.0626894	0	5.805564129	11.13174649	0	0	100		35.315	1112.8	1384.393677	773.8467407	-1.520439625	-1.745245337	-0.776678443	1363.781372	1429.402344	647.062439	703.7719727	21.69878658	20.05710207	13.03805365	4.678727386	19	513-2-18	Nedre S?vertj?rni	2019	19	42	10.15.2019		38	09.17.1995	20.8616583	94.12140237	268.0019679	470.7003311	-3.32531508	-1.057600741	1.7751735	3.288070231	3.189803136	23.59154614	66.40901222	266.9409244	3.571762442	4.274670104	6.099137963	1.119840987		5.986143303	5.561919597		5.986143303	5.561919597		0.065	5	16.12903226	5	14	0.02	1.05	52.39520958	3.387096774	1.25	1.000062375	1.810344828	0.004	0.16	4.513017234	0.02	0.05	0.14	0.11	2	33	8.3	26.77419355	8.3	0.2	0.65	0.063	0.047	3.867516972	0.073818928	0.47	8	8	8	0.29	0.05	1	0.013	0.84	52.39194162	57.47638743	94.60979798	0.58	0.31	18.23529412	12.4	0.041935484	33	17	25	1		2.5	6.34	0.45708819	0	37.13341056	48.48489588	46.86		56.26272655	1.073881303	0.988713948	0.594681817	1995	0.039	10	50	10		0.34	16.96606786	1.7	0.566666667	0.45336161	1.133333333		0.3	8.461907314				40			0.42	0.05	0.03	2.468627854	0.065965851	1.1	0	40	20	0.2		0.08	0.6	37.42281544	48.74186561	57.8991756	0.3	0.2	0.4	10.52631579	10.52631579	59	19	19	2	0.4	6.02	0.954992586	0	9.15730999	5.602475604	4.921	19.43469572	0.519327461	0.423554825	0.335664464	40	0.24	-1.641684511	-8.359326263	-5.332270845	-4.323964463	2.168229244	70.52985623	201.5929557	203.7594066	-32	0.28	93.33333333	0.11	55	6	42.88242028	41.939	0	-5		0.017	0.013	0.09	0.71	-0.14	0.32	-0.497904396	27.97610057	-1	-26	-12	1.873684211
